source_ingredient_id,source_ingredient_name,canonical_id,mapping_type,confidence,source
green_tea,녹차추출물,camellia_sinensis_leaf_extract,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=2756 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,Hydrolyzed Hyaluronic Acid,hydrolyzed_hyaluronic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=5655 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,Hydrolyzed Sodium Hyaluronate,hydrolyzed_sodium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=7511 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,Hydroxypropyltrimonium Hyaluronate,hydroxypropyltrimonium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=4707 alias_basis=legacy_name sha256=4a523f990553
hyaluronic_acid,Potassium Hyaluronate,potassium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=3711 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,Sodium Acetylated Hyaluronate,sodium_acetylated_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=1150 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,Sodium Hyaluronate,sodium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=1265 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,Sodium Hyaluronate Crosspolymer,sodium_hyaluronate_crosspolymer,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=1268 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,소듐아세틸레이티드하이알루로네이트,sodium_acetylated_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=1150 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,소듐하이알루로네이트,sodium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=1265 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,소듐하이알루로네이트크로스폴리머,sodium_hyaluronate_crosspolymer,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=1268 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,포타슘하이알루로네이트,potassium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=3711 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,하이드록시프로필트라이모늄하이알루로네이트,hydroxypropyltrimonium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=4707 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,하이드록시프로필트리모늄하이알루로네이트,hydroxypropyltrimonium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=4707 alias_basis=legacy_name sha256=4a523f990553
hyaluronic_acid,하이드롤라이즈드소듐하이알루로네이트,hydrolyzed_sodium_hyaluronate,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=7511 alias_basis=standard_name sha256=4a523f990553
hyaluronic_acid,하이드롤라이즈드하이알루로닉애씨드,hydrolyzed_hyaluronic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=5655 alias_basis=standard_name sha256=4a523f990553
ing_pending_001dfc2333af,,viola_tricolor_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=820 sha256=4a523f990553
ing_pending_0036a4c14fd7,,betaine_salicylate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=476 sha256=4a523f990553
ing_pending_003dc3a6e5c4,,caprylyl_capryl_glucoside,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2929 sha256=4a523f990553
ing_pending_004e6343da43,,hydrolyzed_corn_starch_hydroxyethyl_ether,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=21743 sha256=4a523f990553
ing_pending_007e32f1cbbd,,ruscus_aculeatus_root_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=577 sha256=4a523f990553
ing_pending_00813d67944f,,zymomonas_ferment_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=16530 sha256=4a523f990553
ing_pending_00883b68c2d3,,triethoxycaprylylsilane,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3389 sha256=4a523f990553
ing_pending_00a50002a1cb,,potassium_hydroxide,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3709 sha256=4a523f990553
ing_pending_00c6b60b41f3,,polysorbate_60,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3858 sha256=4a523f990553
ing_pending_0198b489fd8d,,phenyl_trimethicone,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3586 sha256=4a523f990553
ing_pending_01a3c8959642,,algin,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1890 sha256=4a523f990553
ing_pending_01fb26b2c536,,sea_water,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4847 sha256=4a523f990553
