product_id,brand,name,category,is_recommendable,recommend_exclude_reason,skin_type_tags,thumbnail_url,image_urls,functional_review_text,functional_cosmetic_status,functional_cosmetic_claims,functional_claim_confidence,functional_claim_basis
ulta_130f37fdbb2b2e,Geske,SmartAppGuided Sonic Cool & Warm Face and Body Massager | 9 in 1 - Black,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77002815?w=500&h=500,https://media.ultainc.com/i/ulta/77002815?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_53c3eed9487301,Jouer Cosmetics,Crème Eyeshadow Crayon - Rococo,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77002953?w=500&h=500,https://media.ultainc.com/i/ulta/77002953?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_07b4f8a4331ac4,Jouer Cosmetics,Crème Eyeshadow Crayon - Modern,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77002951?w=500&h=500,https://media.ultainc.com/i/ulta/77002951?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_bd3c5ecb5ab62a,Manucurist,"Active Smooth Nail Concealer, Nail Strengthener and Growth for a Natural Sheer effect - 2",makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77003004?w=500&h=500,https://media.ultainc.com/i/ulta/77003004?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_3223ef45794a2c,Manucurist,"Complete Serum Nail Strengthener, Nail Growth Serum",nail,false,db_only_foreign_catalog:nail,,https://media.ultainc.com/i/ulta/77003008?w=500&h=500,https://media.ultainc.com/i/ulta/77003008?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_0c0a8ff8267881,Manucurist,"Nourishing Nail Pen, Nail Strengthener and Growth, Cuticle Oil Pen Balm",nail,false,db_only_foreign_catalog:nail,,https://media.ultainc.com/i/ulta/77003015?w=500&h=500,https://media.ultainc.com/i/ulta/77003015?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_0fcf6fa83c4521,Manucurist,"Hydra Glow & Repair Duo, Nail Strengthener and Growth",nail,false,db_only_foreign_catalog:nail,,https://media.ultainc.com/i/ulta/77003036?w=500&h=500,https://media.ultainc.com/i/ulta/77003036?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_e717d633ba6acc,Nuxe,Hair Prodigieux Pre-Shampoo Nourishing Mask,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77003044?w=500&h=500,https://media.ultainc.com/i/ulta/77003044?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_a95f6cb7a1edf1,Manucurist,Glow Bestsellers Nail Care Gift Box,nail,false,db_only_foreign_catalog:nail,,https://media.ultainc.com/i/ulta/77003050?w=500&h=500,https://media.ultainc.com/i/ulta/77003050?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_e7b936875a12b7,Jouer Cosmetics,Tinted Hydrating Lip Oil - Bardot,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77003107?w=500&h=500,https://media.ultainc.com/i/ulta/77003107?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
