product_id,canonical_id,kept_ingredient_name,kept_display_order,source_row_count,source_ingredient_ids,source_ingredient_names,source_display_orders,source_concentration_texts,source_normalized_concentrations,concentration_policy
prod_oy_a000000144918,hyaluronic_acid,소듐하이알루로네이트,9,3,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737; ing_pending_699a72e62403,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트,9; 10; 11,,,none
prod_oy_a000000145286,cholesterol_fatty_acids,콜레스테롤,8,3,ing_pending_bf86770f3c63; ing_pending_8e5e6501448c; ing_pending_452a2c10432c,콜레스테롤; 스테아릭애씨드; 올레익애씨드,8; 16; 18,,,none
prod_oy_a000000152046,hyaluronic_acid,소듐하이알루로네이트,7,8,ing_pending_dc86714c6b9b; ing_pending_91a214fb54fa; ing_pending_d5a75e7d8737; ing_pending_699a72e62403; ing_pending_2a70c7167edc; ing_pending_ebe20aa739f4; ing_pending_1e416583864f; ing_pending_5830c0d1d488,소듐하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트; 하이알루로닉애씨드; 하이드롤라이즈드소듐하이알루로네이트; 소듐하이알루로네이트크로스폴리머; 포타슘하이알루로네이트,7; 9; 10; 11; 14; 15; 16; 17,,,none
prod_oy_a000000156792,hyaluronic_acid,소듐하이알루로네이트,32,3,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737; ing_pending_699a72e62403,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트,32; 46; 63,,,none
prod_oy_a000000158920,hyaluronic_acid,소듐하이알루로네이트,23,2,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드,23; 24,,,none
prod_oy_a000000163761,hyaluronic_acid,소듐하이알루로네이트,8,8,ing_pending_dc86714c6b9b; ing_pending_91a214fb54fa; ing_pending_d5a75e7d8737; ing_pending_699a72e62403; ing_pending_2a70c7167edc; ing_pending_ebe20aa739f4; ing_pending_1e416583864f; ing_pending_5830c0d1d488,소듐하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트; 하이알루로닉애씨드; 하이드롤라이즈드소듐하이알루로네이트; 소듐하이알루로네이트크로스폴리머; 포타슘하이알루로네이트,8; 32; 35; 36; 37; 38; 39; 40,,,none
prod_oy_a000000163761,cholesterol_fatty_acids,팔미틱애씨드,13,5,ing_pending_eef58792a781; ing_pending_8e5e6501448c; ing_pending_31868b33631e; ing_pending_bf86770f3c63; ing_pending_481b392e8e2b,팔미틱애씨드; 스테아릭애씨드; 미리스틱애씨드; 콜레스테롤; 라우릭애씨드,13; 18; 24; 28; 31,,,none
prod_oy_a000000166922,hyaluronic_acid,하이알루로닉애씨드,21,3,ing_pending_2a70c7167edc; ing_pending_d5a75e7d8737; ing_pending_dc86714c6b9b,하이알루로닉애씨드; 하이드롤라이즈드하이알루로닉애씨드; 소듐하이알루로네이트,21; 22; 23,,,none
prod_oy_a000000168828,hyaluronic_acid,소듐하이알루로네이트,19,2,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드,19; 34,,,none
prod_oy_a000000168828,cholesterol_fatty_acids,팔미틱애씨드,22,3,ing_pending_eef58792a781; ing_pending_8e5e6501448c; ing_pending_31868b33631e,팔미틱애씨드; 스테아릭애씨드; 미리스틱애씨드,22; 23; 33,,,none
prod_oy_a000000168828,peptides,아세틸헥사펩타이드-8,43,4,ing_pending_2326ae2ec645; ing_pending_2923850fc2fa; ing_pending_709f4e72c2ae; ing_pending_1af9a895ed19,아세틸헥사펩타이드-8; 카퍼트라이펩타이드-1; 트라이펩타이드-1; 팔미토일펜타펩타이드-4,43; 44; 45; 46,,,none
prod_oy_a000000173212,glycerin,글리세린,4,2,ing_pending_70150945e717,글리세린,4; 38,,,none
prod_oy_a000000173212,centella_asiatica,병풀추출물,8,2,ing_pending_ae9fa1bd4d57,병풀추출물,8; 55,,,none
prod_oy_a000000173212,hyaluronic_acid,소듐하이알루로네이트,21,4,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드,21; 33; 72; 90,,,none
