portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,current_runtime,current_effect_score,best_evidence_tier,best_relation_scope,best_applicability,best_pmid,signal_strength,score_basis,proposed_effect_score,scientific_evidence_score,runtime_score_eligible,counterfactual_score_eligible_after_review,score_exclusion_reason,review_status,activation_status
76,hydrolyzed_collagen,하이드롤라이즈드콜라겐,Hydrolyzed Collagen,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,combination_or_formulation,31221944,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
77,oleic_acid,올레익애씨드,Oleic Acid,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,26528587,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
78,linoleic_acid,리놀레익애씨드,Linoleic Acid,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,32697858,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
79,glyceryl_glucoside,글리세릴글루코사이드,Glyceryl Glucoside,effect_moisture_barrier,보습·장벽,N,,2,title_exact,combination_or_formulation,22584263,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
80,lanolin,라놀린,Lanolin,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,15781099,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
81,melanin,멜라닌,Melanin,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,41630393,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
82,isopropyl_palmitate,아이소프로필팔미테이트,Isopropyl Palmitate,effect_moisture_barrier,보습·장벽,N,,3,abstract_exact,human_topical,29318715,medium,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
83,mannose,만노오스,Mannose,effect_moisture_barrier,보습·장벽,N,,4,title_exact,human_topical,36994777,high,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
84,inositol,이노시톨,Inositol,effect_moisture_barrier,보습·장벽,N,,4,abstract_exact,human_topical,17313403,high,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
85,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,effect_moisture_barrier,보습·장벽,N,,4,abstract_exact,human_topical,27131753,medium,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
86,resveratrol,레스베라트롤,Resveratrol,effect_moisture_barrier,보습·장벽,N,,3,abstract_exact,human_topical,32099438,medium,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
87,alpha_arbutin,알파-알부틴,Alpha-Arbutin,effect_brightening,미백·톤,N,,2,title_exact,combination_or_formulation,39555866,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
88,lecithin,레시틴,Lecithin,effect_moisture_barrier,보습·장벽,N,,2,title_exact,combination_or_formulation,41987370,medium,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
89,zinc_chloride,징크클로라이드,Zinc Chloride,effect_calming,진정,N,,2,abstract_exact,combination_or_formulation,28250779,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
90,cetyl_alcohol,세틸알코올,Cetyl Alcohol,effect_moisture_barrier,보습·장벽,N,,4,abstract_exact,human_topical,18452435,medium,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
91,echinacea_purpurea_extract,자주천인국추출물,Echinacea Purpurea Extract,effect_moisture_barrier,보습·장벽,N,,4,abstract_exact,human_topical,20384903,high,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
